Source_ID,RA(J2000),DEC(J2000),Source_Type,F100,e_F100,F131.25,e_F131.25,F143.75,e_F143.75,F156.25,e_F156.25,F168.75,e_F168.75,Spectral_Index,e_Spectral_Index
21CMA-DDR1-J155729+871436,15:57:28.77,+87:14:36.0,P,0.0487109306198513,0.0143978637657293,0.060644514563759,0.0150426900651403,0.049528606872393,0.0071387639697232,0.0432753216892625,0.0092353893236461,0.0376317825876993,0.0049385032317667,-0.800567614942997,0.5686262482447455
21CMA-DDR1-J204027+865242,20:40:26.91,+86:52:42.2,P,0.2433029251271626,0.0118635457570755,0.193583164749598,0.0087929377355799,0.1929585049438465,0.0068231647282617,0.1748571076973735,0.0057061702117824,0.1655836759715707,0.0041328110031605,-0.7286764741311654,0.098696354720275
21CMA-DDR1-J181332+873714,18:13:31.70,+87:37:14.3,P,,,0.0365845759336219,0.0109436897874299,0.0321082298798126,0.0067432301700862,0.0268911352804894,0.0069530573719167,0.0280115118586418,0.0051481591303744,-1.043380168822995,1.2483902242178235
21CMA-DDR1-J151307+864933,15:13:06.77,+86:49:33.1,P,,,0.0375391636761289,0.0117411648987531,0.0318573717675435,0.0069531517364217,0.0313106984025346,0.0085703275905095,0.0304561299147447,0.007262831992187,-0.6820130193938145,1.4367636523728953
21CMA-DDR1-J150034+863829,15:00:33.59,+86:38:29.3,P,,,,,0.022775037995826,0.0064973423564118,0.0259553719140251,0.0066097711198285,0.0183392986303191,0.0058828025845421,-1.1542210706375349,2.6636475135886606
21CMA-DDR1-J200449+871134,20:04:49.02,+87:11:34.3,P,0.1944577475836895,0.0154160531313977,0.158330417185246,0.0091381111742872,0.1525507266311161,0.0071183970852238,0.1440863532219623,0.0075395927977013,0.1405034674952663,0.0046671242862589,-0.589475561777697,0.1482141631136752
21CMA-DDR1-J211523+862003,21:15:23.18,+86:20:03.3,P,0.7119394398986693,0.0131305179385642,0.5687581717848103,0.0127740273710552,0.5654142996167494,0.0131674369827708,0.5053076455554392,0.0104281117002959,0.4465234987901976,0.0079485572293574,-0.8443417419863408,0.0457965902514801
21CMA-DDR1-J151249+864627,15:12:49.32,+86:46:26.8,P,0.1740470572061046,0.0115449084602838,0.1300810397466123,0.0083607576924035,0.1148883920034661,0.0067150482545456,0.1069255245278751,0.0076206673146362,0.1125136744127753,0.004886624934995,-0.8469010036808475,0.1459772104136649
21CMA-DDR1-J183224+873407,18:32:23.92,+87:34:06.9,P,0.3318697264463574,0.0154046453181489,0.237618032809536,0.013927678284811,0.2316613070014506,0.0097573783669354,0.2059625299632698,0.0179341606012815,0.1924175385753878,0.0139062411901024,-1.0297377924505242,0.1347438082969635
21CMA-DDR1-J174722+873536,17:47:22.01,+87:35:35.5,P,,,0.0355209245216384,0.0114658798675189,0.0371151169091498,0.0086997793051795,0.033709527358627,0.0074512231030739,0.0299588145054012,0.0051647940352538,-0.8997302920844681,1.2770594383051517
21CMA-DDR1-J152551+865456,15:25:51.39,+86:54:55.7,P,0.0739201283858926,0.0179610288409228,0.1019417915465906,0.009914483334741,0.0859443915761871,0.0067183023121207,0.10013029513826,0.0089120965809032,0.0810834038413671,0.0052832734724713,-0.2811519346449295,0.3449027487111898
21CMA-DDR1-J171219+873137,17:12:18.73,+87:31:37.2,P,0.2800672383026402,0.0116760402281158,0.2212380214017561,0.0083341465364769,0.2278836193072037,0.0089575042093066,0.2216291159844628,0.0102338980348475,0.2034532042992746,0.007266675536773,-0.5588717257444876,0.0993340317535487
21CMA-DDR1-J195803+871301,19:58:03.19,+87:13:00.7,P,0.0538932924816706,0.0168418620556637,,,0.0502738552852083,0.01234919297506,0.0423966325412389,0.0128486921734117,0.0516973623249751,0.003796112652957,-0.0236571255564169,0.5829259719721487
21CMA-DDR1-J194242+871832,19:42:42.10,+87:18:32.3,P,0.0727385275355225,0.0154021370231974,0.0817439551725108,0.0116621844360952,0.0716100761347408,0.0098710579439808,0.066887079934326,0.0077361598393788,0.0618388811018334,0.0060694108828236,-0.505724883281917,0.402226971096786
21CMA-DDR1-J183924+873212,18:39:23.73,+87:32:11.6,P,0.7067342910136927,0.0156693006309727,0.5004726158567412,0.0184065217816605,0.4674785776267914,0.0147471823687062,0.4221673212950739,0.0206229228470734,0.345318369876546,0.0154071244214461,-1.2486223338217193,0.0728249641201894
21CMA-DDR1-J142323+855145,14:23:22.59,+85:51:45.1,P,,,,,0.0447849013004024,0.0119395763497973,0.0363607800309664,0.0074966787548692,0.0331375271926371,0.0081353574483681,-1.8666079346739437,2.2593880728247693
